course_name,parent_platform,url,type,cost,cost_notes,language,hindi_available,primary_track,secondary_tracks,tier,est_hours,prerequisites,coverage_summary,quality_signal,last_verified_status
GCFGlobal Computer Basics,GCFGlobal Computer Basics,https://edu.gcfglobal.org/en/computerbasics/,Course,free,No fee for learning materials.,English; translation-friendly,No,1. Digital literacy & computer basics,,Newbie,8–12 h,None stated,"Teaches GCFGlobal Computer Basics through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.","Nonprofit, modular fundamentals; active site checked 2026",active/reachable; fetched September 2026
Spoken Tutorial: Introduction to Computers (Hindi),Spoken Tutorial,https://website.spoken-tutorial.org/watch/Introduction+to+Computers/Getting+to+know+computers/Hindi/,Video tutorial,free,No fee for learning materials.,Hindi,Yes,1. Digital literacy & computer basics,,Newbie,1–3 h,None stated,"Teaches Spoken Tutorial: Introduction to Computers (Hindi) through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",IIT Bombay-backed Indian-language on-ramp,active/reachable; fetched September 2026
Google Applied Digital Skills,Google Applied Digital Skills,https://support.google.com/googleforeducation/answer/9799929?hl=en,Project course,free,No fee for learning materials.,English; captions; translate,No,1. Digital literacy & computer basics,,Newbie; Apprentice,10–20 h,None stated,"Teaches Google Applied Digital Skills through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",Google for Education; task-based curriculum verified 2026,active/reachable; fetched September 2026
OpenLearn Digital Skills,OpenLearn Digital Skills,https://www.open.edu/openlearn/openlearn/digital-computing/digital-skills-succeeding-digital-world,Course,free,No fee for learning materials.,English; transcript,No,1. Digital literacy & computer basics,,Newbie,24 h,None stated,"Teaches OpenLearn Digital Skills through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",Open University institutional course,active/reachable; fetched September 2026
NIELIT Digital Literacy Courses,NIELIT Digital Literacy Courses,https://www.nielit.in/content/digital-literacy-courses,Syllabus/course portal,freemium,freemium: syllabus free; centre/exam fees vary.,English/Hindi varies,Yes,1. Digital literacy & computer basics,,Newbie,20–80 h,None stated,"Provides guided exercises or challenges centered on NIELIT Digital Literacy Courses, building practical competence in computer operation, internet use, digital safety and everyday digital tasks.",Government of India curriculum; verify centre fees,active/reachable; fetched September 2026
PMGDISHA programme information,PMGDISHA programme information,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2037600,Government programme,eligibility-based,free/eligibility-based; not always-open self-paced.,Hindi/English ecosystem,Yes,1. Digital literacy & computer basics,,Newbie,20 h typical,None stated,"Teaches PMGDISHA programme information through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",Official PIB record; local enrolment must be checked,active/reachable; fetched September 2026
DigitalLearn.org,DigitalLearn.org,https://www.digitallearn.org/,Course portal,free,No fee for learning materials.,English; Spanish,No,1. Digital literacy & computer basics,,Newbie,5–15 h,None stated,"Organizes lessons and learning resources for computer operation, internet use, digital safety and everyday digital tasks; use the linked course or playlist sequence rather than treating the hub as one lesson.",Public Library Association digital-skills modules,active/reachable; fetched September 2026
Microsoft Digital Literacy,Microsoft Digital Literacy,https://www.microsoft.com/en-us/digital-literacy,Course,free,No fee for learning materials.,English; localisation,No,1. Digital literacy & computer basics,,Newbie,10 h,None stated,"Teaches Microsoft Digital Literacy through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",Microsoft Learn institutional modules,active/reachable; fetched September 2026
Internet Safety by GCFGlobal,Internet Safety by GCFGlobal,https://edu.gcfglobal.org/en/internetsafetyforkids/,Course,free,No fee for learning materials.,English; translation-friendly,No,1. Digital literacy & computer basics,,Newbie,4–6 h,None stated,"Teaches Internet Safety by GCFGlobal through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.","Practical passwords, phishing, privacy",active/reachable; fetched September 2026
Be Internet Awesome,Be Internet Awesome,https://beinternetawesome.withgoogle.com/en_us/,Interactive lessons,free,No fee for learning materials.,English; localisation,No,1. Digital literacy & computer basics,,Newbie,3–6 h,None stated,"Teaches Be Internet Awesome through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",Google safety curriculum and game,active/reachable; fetched September 2026
