Topic,Subtopic,Label,URL,Type
"Statistics","Statistics, CLT","Mathematics for Machine Learning","https://imp.i384100.net/baqMYv","Courses"
"Statistics","Statistics, CLT","Coursera: Introduction to Statistics","https://imp.i384100.net/3eRv4v","Course"
"Statistics","Hypothesis Testing","Coursera: Hypothesis Testing","https://imp.i384100.net/vN0JAA","Course"
"Statistics","Hypothesis Testing","Coursera: Algebra and Differential Calculus","https://imp.i384100.net/LX5M7M","Course"
"Econometrics","","Coursera: Probability and Statistics","https://imp.i384100.net/daDM6Q","Course"
"Econometrics","Pre-requisites of Econometrics","Fundamentals of Econometrics","https://bookdown.org/ts_robinson1994/10EconometricTheorems/","Book"
"Econometrics","Pre-requisites of Econometrics","Practitioner's Guide to Statistical Tests","https://vkteam.medium.com/practitioners-guide-to-statistical-tests-ed2d580ef04f#1e3b","Article"
"Econometrics","Pre-requisites of Econometrics","Experiment Design Article","https://towardsdatascience.com/step-by-step-for-planning-an-a-b-test-ef3c93143c0b","Article"
"Econometrics","Regression, Timeseries, Fitting Distributions","Intro to Econometrics","https://academia.edu/33062577/Dougherty_Intro_to_Econometrics_4th_ed_small","Book"
"Econometrics","Increasing Test Sensitivity","Minimum Detectable Effect","https://splitmetrics.com/resources/minimum-detectable-effect-mde/","Article"
"Econometrics","Increasing Test Sensitivity","Coursera: Econometrics","https://imp.i384100.net/k0krYL","Course"
"Econometrics","Increasing Test Sensitivity","Paper: Improving Test Sensitivity","https://kdd.org/kdd2016/papers/files/adp0945-xieA.pdf","Paper"
"Econometrics","Increasing Test Sensitivity","Kaggle: Learn Time Series","https://www.kaggle.com/learn/time-series","Course"
"Econometrics","Increasing Test Sensitivity","Paper: Improving Sensitivity (CUPED)","https://exp-platform.com/Documents/2013-02-CUPED-ImprovingSensitivityOfControlledExperiments.pdf","Paper"
"Econometrics","Increasing Test Sensitivity","Kaggle: Time Series Basics","https://kaggle.com/code/jagangupta/time-series-basics-exploring-traditional-ts#Hierarchical-time-series","Tutorial"
"Econometrics","Increasing Test Sensitivity","CUPED at Booking.com","https://booking.ai/how-booking-com-increases-the-power-of-online-experiments-with-cuped-995d186fff1d","Article"
"Econometrics","Increasing Test Sensitivity","ARIMA model for Time Series","https://machinelearningmastery.com/arima-for-time-series-forecasting-with-python","Tutorial"
"Econometrics","Increasing Test Sensitivity","Doordash: CUPAC","https://doordash.engineering/2020/06/08/improving-experimental-power-through-control-using-predictions-as-covariate-cupac/","Article"
"Econometrics","Increasing Test Sensitivity","Time Series Models","https://machinelearningmastery.com/time-series-forecasting-methods-in-python-cheat-sheet/","Tutorial"
"Econometrics","Increasing Test Sensitivity","Netflix: Stratification","https://www.researchgate.net/publication/305997925_Improving_the_Sensitivity_of_Online_Controlled_Experiments_Case_Studies_at_Netflix","Paper"
"Econometrics","Increasing Test Sensitivity","Forecasting Task with Solution","https://github.com/stalkermustang/bcdc_ds_takehome","OpenSource"
"Econometrics","Ratio Metrics","Coursera: Linear Regression","https://imp.i384100.net/9g97Ke","Course"
"Econometrics","Ratio Metrics","Microsoft: Delta Method in Metric Analytics","https://arxiv.org/pdf/1803.06336","Paper"
"Econometrics","Ratio Metrics","Paper: Ratio Metrics","https://stat.cmu.edu/~hseltman/files/ratio.pdf","Paper"
"Exploratory Data Analysis","","Learn Python: Kaggle","https://www.kaggle.com/learn/python","Course"
"Exploratory Data Analysis","","Google's Python Class","https://developers.google.com/edu/python","Course"
"Exploratory Data Analysis","Data understanding, Data Analysis and Visualization","Exploratory Data Analysis with Python and Pandas","https://imp.i384100.net/AWAv4R","Course"
"Exploratory Data Analysis","Data Structures and Algorithms (Python)","Exploratory Data Analysis for Machine Learning","https://imp.i384100.net/GmQMLE","Course"
"Exploratory Data Analysis","Data Structures and Algorithms (Python)","Algorithmic Exercises","https://leetcode.com/explore/learn/","Tutorial + Challenges"
"Exploratory Data Analysis","Data Structures and Algorithms (Python)","Exploratory Data Analysis with Seaborn","https://imp.i384100.net/ZQmMgR","Course"
"Exploratory Data Analysis","Data Structures and Algorithms (Python)","Study Plans - Leetcode","https://leetcode.com/studyplan/","Challenges"
"Machine Learning","","Algorithms Specialization","https://imp.i384100.net/5gqv4n","Course"
"Machine Learning","Learn SQL","Open Machine Learning Course - Open Data Science","https://mlcourse.ai/book/topic01/topic01_intro.html","Course"
"Machine Learning","Learn SQL","SQL Tutorial","https://sqltutorial.org/","Course"
"Machine Learning","Learn SQL","Machine Learning Specialization","https://imp.i384100.net/oqGkrg","Course"
"Deep Learning","","Pattern Recognition & ML by Christopher m. Bishop","https://microsoft.com/en-us/research/uploads/prod/2006/01/Bishop-Pattern-Recognition-and-Machine-Learning-2006.pdf","eBook"
"Deep Learning","Fully Connected, CNN, RNN, LSTM, Transformers, TL","GitHub repository with notes & code from the eBook above","https://github.com/gerdm/prml",""
"Deep Learning","Fully Connected, CNN, RNN, LSTM, Transformers, TL","Deep Learning Specialization","https://imp.i384100.net/Wq9MV3","Courses"
"MLOps","","Deep Learning Book","https://www.deeplearningbook.org/","eBook"
"MLOps","","Attention is all you need","https://arxiv.org/pdf/1706.03762","Paper"
"MLOps","Deployment Models, CI/CD","MLOps Specialization","https://imp.i384100.net/nLA5mx","Courses"
"MLOps","Deployment Models, CI/CD","The Illustrated Transformer","https://jalammar.github.io/illustrated-transformer/","Article"
"AI Engineering","Prompt Engineering, LLMs, RAG, Agents, Fine-tuning","Google AI Courses","https://grow.google/ai-coursera","Courses"
"AI Engineering","Prompt Engineering, LLMs, RAG, Agents, Fine-tuning","Vibe Coding Fundamentals","https://www.coursera.org/learn/vibe-coding-fundamentals","Course"
"AI Engineering","Prompt Engineering, LLMs, RAG, Agents, Fine-tuning","Hugging Face NLP","https://huggingface.co/learn/llm-course/chapter1/1","Course"
"AI Engineering","Prompt Engineering, LLMs, RAG, Agents, Fine-tuning","Claude Code","https://docs.anthropic.com/en/docs/claude-code","Docs"
"AI Engineering","Prompt Engineering, LLMs, RAG, Agents, Fine-tuning","Prompt Engineering Guide","https://www.promptingguide.ai/","Article"
"AI Engineering","Prompt Engineering, LLMs, RAG, Agents, Fine-tuning","Agentic Coding Handbook","https://tweag.github.io/agentic-coding-handbook/","Article"
"AI Engineering","Prompt Engineering, LLMs, RAG, Agents, Fine-tuning","RAG for Knowledge - Intensive NLP Tasks","https://arxiv.org/abs/2005.11401","Paper"
